screen,ui_field,direction,api_endpoint,api_field
Home,Search input,send,GET /search,data
Home,Product name,receive,GET /products,data.name
Home,Product brand,receive,GET /products,data.brand_id
Home,Product price,receive,GET /products,data.base_price_paise
Home,Product rating,receive,GET /products,data.average_rating
Home,Product image,receive,GET /products,data.images
Product Listing,Brand filter,send,GET /products,facets.brands
Product Listing,Price range (Min),send,GET /products,facets.price_ranges
Product Listing,Price range (Max),send,GET /products,facets.price_ranges
Product Listing,Rating filter,send,GET /products,facets.ratings
Product Listing,Brand filter options,receive,GET /products,facets.brands
Product Listing,Price range options,receive,GET /products,facets.price_ranges
Product Listing,Rating filter options,receive,GET /products,facets.ratings
Product Listing,Product name,receive,GET /products,data.name
Product Listing,Product brand,receive,GET /products,data.brand_id
Product Listing,Product price,receive,GET /products,data.base_price_paise
Product Listing,Product rating,receive,GET /products,data.average_rating
Product Listing,Product image,receive,GET /products,data.images
Product Listing,Total products count,receive,GET /products,pagination.total_items
Product Listing By Category,Category name (page title),receive,GET /categories/{categoryId},name
Product Listing By Category,Brand filter,send,GET /categories/{categoryId}/products,facets.brands
Product Listing By Category,Price range Min,send,GET /categories/{categoryId}/products,facets.price_ranges
Product Listing By Category,Price range Max,send,GET /categories/{categoryId}/products,facets.price_ranges
Product Listing By Category,Customer rating filter,send,GET /categories/{categoryId}/products,facets.ratings
Product Listing By Category,Brand filter options,receive,GET /categories/{categoryId}/products,facets.brands
Product Listing By Category,Price range options,receive,GET /categories/{categoryId}/products,facets.price_ranges
Product Listing By Category,Customer rating options,receive,GET /categories/{categoryId}/products,facets.ratings
Product Listing By Category,Product name,receive,GET /categories/{categoryId}/products,data.name
Product Listing By Category,Product brand,receive,GET /categories/{categoryId}/products,data.brand_id
Product Listing By Category,Product price,receive,GET /categories/{categoryId}/products,data.base_price_paise
Product Listing By Category,Product rating,receive,GET /categories/{categoryId}/products,data.average_rating
Product Listing By Category,Product image,receive,GET /categories/{categoryId}/products,data.images
Product Listing By Category,Total products count,receive,GET /categories/{categoryId}/products,pagination.total_items
Search Results,Search query input,send,GET /search,data
Search Results,Brand filter,send,GET /search,facets.brands
Search Results,Price range filter,send,GET /search,facets.price_ranges
Search Results,Customer rating filter,send,GET /search,facets.ratings
Search Results,Total results count,receive,GET /search,pagination.total_items
Search Results,Brand filter options,receive,GET /search,facets.brands
Search Results,Price range options,receive,GET /search,facets.price_ranges
Search Results,Rating filter options,receive,GET /search,facets.ratings
Search Results,Product name,receive,GET /search,data.name
Search Results,Product brand,receive,GET /search,data.brand_id
Search Results,Product price,receive,GET /search,data.base_price_paise
Search Results,Product rating,receive,GET /search,data.average_rating
Search Results,Product image,receive,GET /search,data.images
Search Results,Search suggest label,receive,GET /search/suggest,label
Search Results,Search suggest type,receive,GET /search/suggest,type
Search Results,Search suggest slug,receive,GET /search/suggest,slug
Product Detail,Product name,receive,GET /products/{productId},name
Product Detail,Brand,receive,GET /products/{productId},brand_id
Product Detail,Product description,receive,GET /products/{productId},description
Product Detail,Price,receive,GET /products/{productId},skus.price_paise
Product Detail,Tax rate,receive,GET /products/{productId},tax_rate_pct
Product Detail,Average rating,receive,GET /products/{productId},average_rating
Product Detail,SKU code,receive,GET /products/{productId},skus.sku_code
Product Detail,Size selector,receive,GET /products/{productId},skus.variant_attributes
Product Detail,Colour selector,receive,GET /products/{productId},skus.variant_attributes
Product Detail,Stock availability,receive,GET /products/{productId},skus.stock_qty
Product Detail,Product image,receive,GET /products/{productId},images.url
Product Detail,Image alt text,receive,GET /products/{productId},images.alt_text
Product Detail,Return window,receive,GET /products/{productId},return_window_days
Product Detail,Is returnable,receive,GET /products/{productId},is_returnable
Product Detail,Specifications / Attributes,receive,GET /products/{productId},attributes
Product Detail,Qty selector,send,POST /carts/{cartId}/items,quantity
Product Detail,Add to cart (SKU),send,POST /carts/{cartId}/items,sku_id
Cart,Product name,receive,GET /carts/{cartId},items.sku_id
Cart,Item quantity,receive,GET /carts/{cartId},items.quantity
Cart,Unit price,receive,GET /carts/{cartId},items.unit_price_paise
Cart,Quantity stepper (update),send,PATCH /carts/{cartId}/items/{itemId},quantity
Cart,Remove item,send,DELETE /carts/{cartId}/items/{itemId},message
Cart,Promo code,send,POST /carts/{cartId}/promo,code
Cart,Subtotal,receive,GET /checkout/review,subtotal_paise
Cart,Discount,receive,GET /checkout/review,discount_paise
Cart,Shipping,receive,GET /checkout/review,shipping_paise
Cart,GST (18%),receive,GET /checkout/review,tax_paise
Cart,Total,receive,GET /checkout/review,total_paise
Cart,Free shipping threshold,receive,GET /checkout/review,free_shipping_threshold_paise
Checkout Address,Use a saved address,receive,GET /users/me/addresses,id
Checkout Address,Use a saved address,send,POST /checkout/address,address_id
Checkout Address,Full name,send,POST /checkout/address,address.full_name
Checkout Address,Address line 1,send,POST /checkout/address,address.line1
Checkout Address,Address line 2,send,POST /checkout/address,address.line2
Checkout Address,City,send,POST /checkout/address,address.city
Checkout Address,State,send,POST /checkout/address,address.state
Checkout Address,PIN code,send,POST /checkout/address,address.pin_code
Checkout Address,Phone number,send,POST /checkout/address,address.phone
Checkout Address,PIN code serviceability,receive,GET /serviceability,serviceable
Checkout Address,PIN code serviceability message,receive,GET /serviceability,message
Checkout Address,Subtotal,receive,GET /checkout/review,subtotal_paise
Checkout Address,Shipping,receive,GET /checkout/review,shipping_paise
Checkout Address,GST (18%),receive,GET /checkout/review,tax_paise
Checkout Address,Total,receive,GET /checkout/review,total_paise
Checkout Address,Order item product name,receive,GET /checkout/review,items.product_name
Checkout Address,Order item quantity,receive,GET /checkout/review,items.quantity
Checkout Address,Order item line total,receive,GET /checkout/review,items.line_total_paise
Checkout Payment,Delivering to (address summary),receive,POST /checkout/address,full_name
Checkout Payment,Delivering to (address line),receive,POST /checkout/address,line1
Checkout Payment,Payment method,send,POST /checkout/place-order,payment_method
Checkout Payment,Test scenario (simulate outcome),send,POST /payments/initiate,test_scenario
Checkout Payment,Promo code,send,POST /carts/{cartId}/promo,code
Checkout Payment,Order item product name,receive,GET /checkout/review,items.product_name
Checkout Payment,Order item quantity,receive,GET /checkout/review,items.quantity
Checkout Payment,Order item line total,receive,GET /checkout/review,items.line_total_paise
Checkout Payment,Subtotal,receive,GET /checkout/review,subtotal_paise
Checkout Payment,Discount,receive,GET /checkout/review,discount_paise
Checkout Payment,Shipping,receive,GET /checkout/review,shipping_paise
Checkout Payment,GST (18%),receive,GET /checkout/review,tax_paise
Checkout Payment,Total (Pay button amount),receive,GET /checkout/review,total_paise
Checkout Payment,Promo code applied (discount label),receive,GET /checkout/review,promo_code
Checkout Payment,Cart ID (place order),send,POST /checkout/place-order,cart_id
Checkout Review,Delivery address — Full name,receive,GET /checkout/review,delivery_address.full_name
Checkout Review,Delivery address — Full name,receive,POST /checkout/address,full_name
Checkout Review,Delivery address — Line 1,receive,POST /checkout/address,line1
Checkout Review,Delivery address — City,receive,POST /checkout/address,city
Checkout Review,Delivery address — State,receive,POST /checkout/address,state
Checkout Review,Delivery address — PIN code,receive,POST /checkout/address,pin_code
Checkout Review,Delivery address — Phone,receive,POST /checkout/address,phone
Checkout Review,Order item — Product name,receive,GET /checkout/review,items.product_name
Checkout Review,Order item — Variant attributes,receive,GET /checkout/review,items.variant_attributes
Checkout Review,Order item — Quantity,receive,GET /checkout/review,items.quantity
Checkout Review,Order item — Unit price,receive,GET /checkout/review,items.unit_price_paise
Checkout Review,Order item — Line total,receive,GET /checkout/review,items.line_total_paise
Checkout Review,Subtotal,receive,GET /checkout/review,subtotal_paise
Checkout Review,Shipping,receive,GET /checkout/review,shipping_paise
Checkout Review,GST (18%),receive,GET /checkout/review,tax_paise
Checkout Review,Promo discount,receive,GET /checkout/review,discount_paise
Checkout Review,Grand total,receive,GET /checkout/review,total_paise
Checkout Review,Free shipping threshold,receive,GET /checkout/review,free_shipping_threshold_paise
Checkout Review,Promo code input,send,POST /carts/{cartId}/promo,code
Checkout Review,Applied promo code,receive,GET /checkout/review,promo_code
Checkout Review,Cart ID (confirm order),send,POST /checkout/place-order,cart_id
Checkout Confirmation,Order number,receive,POST /checkout/place-order,order_number
Checkout Confirmation,Order status,receive,POST /checkout/place-order,status
Checkout Confirmation,Order item — Product name,receive,GET /orders/{orderId},items.sku_snapshot
Checkout Confirmation,Order item — Quantity,receive,GET /orders/{orderId},items.quantity
Checkout Confirmation,Order item — Line total,receive,GET /orders/{orderId},items.line_total_paise
Checkout Confirmation,Subtotal,receive,POST /checkout/place-order,subtotal_paise
Checkout Confirmation,Shipping,receive,POST /checkout/place-order,shipping_paise
Checkout Confirmation,Tax / VAT,receive,POST /checkout/place-order,tax_paise
Checkout Confirmation,Total,receive,POST /checkout/place-order,total_paise
Checkout Confirmation,Delivery address — Ship to,receive,POST /checkout/place-order,delivery_address_snapshot
Checkout Confirmation,Guest register — Email,send,POST /auth/guest-register,email
Checkout Confirmation,Guest register — Password,send,POST /auth/guest-register,password
Checkout Confirmation,Guest register — Full name,send,POST /auth/guest-register,full_name
Guest Post Checkout Register,Email address,send,POST /auth/guest-register,email
Guest Post Checkout Register,First name / Last name,send,POST /auth/guest-register,full_name
Guest Post Checkout Register,Create a password,send,POST /auth/guest-register,password
Login,Email address,send,POST /auth/login,email
Login,Password,send,POST /auth/login,password
Register,First name,send,POST /auth/register,full_name
Register,Last name,send,POST /auth/register,full_name
Register,Email address,send,POST /auth/register,email
Register,Password,send,POST /auth/register,password
Forgot Password,Email address,send,POST /auth/forgot-password,email
Reset Password,New password,send,POST /auth/reset-password,password
Account Overview,Welcome name,receive,GET /users/me,full_name
Account Overview,Total orders placed,receive,GET /orders,total_items
Account Overview,Saved addresses count,receive,GET /users/me/addresses,id
Account Overview,Unread notifications count,receive,GET /notifications,is_read
Account Overview,Order number,receive,GET /orders,data.order_number
Account Overview,Order status,receive,GET /orders/{orderId},status
Account Overview,Order total,receive,GET /orders/{orderId},total_paise
Account Overview,Order date,receive,GET /orders/{orderId},created_at
Account Profile,Full name,receive,GET /users/me,full_name
Account Profile,Email address,receive,GET /users/me,email
Account Profile,Phone number,receive,GET /users/me,phone
Account Profile,Account status,receive,GET /users/me,is_active
Account Profile,Full name,send,PATCH /users/me,full_name
Account Profile,Phone number,send,PATCH /users/me,phone
Account Profile,Current password,send,POST /users/me/change-password,current_password
Account Profile,New password,send,POST /users/me/change-password,new_password
Account Addresses,Full name,receive,GET /users/me/addresses,full_name
Account Addresses,Address line 1,receive,GET /users/me/addresses,line1
Account Addresses,Address line 2,receive,GET /users/me/addresses,line2
Account Addresses,City,receive,GET /users/me/addresses,city
Account Addresses,State,receive,GET /users/me/addresses,state
Account Addresses,PIN code,receive,GET /users/me/addresses,pin_code
Account Addresses,Phone,receive,GET /users/me/addresses,phone
Account Addresses,Default badge,receive,GET /users/me/addresses,is_default
Account Addresses,Set as default,send,PUT /users/me/addresses/{addressId},is_default
Account Addresses,Delete address,send,DELETE /users/me/addresses/{addressId},message
Account Add Address,Full name,send,POST /users/me/addresses,full_name
Account Add Address,Mobile number,send,POST /users/me/addresses,phone
Account Add Address,Address line 1,send,POST /users/me/addresses,line1
Account Add Address,Address line 2,send,POST /users/me/addresses,line2
Account Add Address,City,send,POST /users/me/addresses,city
Account Add Address,State,send,POST /users/me/addresses,state
Account Add Address,PIN code,send,POST /users/me/addresses,pin_code
Account Add Address,Country,send,POST /users/me/addresses,country
Account Add Address,Set as default address,send,POST /users/me/addresses,is_default
Account Add Address,PIN code serviceability,receive,GET /serviceability,serviceable
Account Edit Address,First name / Last name,receive,GET /users/me/addresses/{addressId},full_name
Account Edit Address,Phone number,receive,GET /users/me/addresses/{addressId},phone
Account Edit Address,Address line 1,receive,GET /users/me/addresses/{addressId},line1
Account Edit Address,Address line 2,receive,GET /users/me/addresses/{addressId},line2
Account Edit Address,City,receive,GET /users/me/addresses/{addressId},city
Account Edit Address,State,receive,GET /users/me/addresses/{addressId},state
Account Edit Address,PIN code,receive,GET /users/me/addresses/{addressId},pin_code
Account Edit Address,Country,receive,GET /users/me/addresses/{addressId},country
Account Edit Address,Set as default address,receive,GET /users/me/addresses/{addressId},is_default
Account Edit Address,First name / Last name,send,PUT /users/me/addresses/{addressId},full_name
Account Edit Address,Phone number,send,PUT /users/me/addresses/{addressId},phone
Account Edit Address,Address line 1,send,PUT /users/me/addresses/{addressId},line1
Account Edit Address,Address line 2,send,PUT /users/me/addresses/{addressId},line2
Account Edit Address,City,send,PUT /users/me/addresses/{addressId},city
Account Edit Address,State,send,PUT /users/me/addresses/{addressId},state
Account Edit Address,PIN code,send,PUT /users/me/addresses/{addressId},pin_code
Account Edit Address,Country,send,PUT /users/me/addresses/{addressId},country
Account Edit Address,Set as default address,send,PUT /users/me/addresses/{addressId},is_default
Account Edit Address,Delete address,send,DELETE /users/me/addresses/{addressId},message
Account Edit Address,PIN code serviceability,receive,GET /serviceability,serviceable
Order History,Order number,receive,GET /orders,data.order_number
Order History,Order number,receive,GET /orders/{orderId},order_number
Order History,Placed on date,receive,GET /orders/{orderId},created_at
Order History,Order status,receive,GET /orders/{orderId},status
Order History,Total,receive,GET /orders/{orderId},total_paise
Order History,Page,receive,GET /orders,page
Order History,Total pages,receive,GET /orders,total_pages
Order Detail,Order number,receive,GET /orders/{orderId},order_number
Order Detail,Placed on date,receive,GET /orders/{orderId},created_at
Order Detail,Order status badge,receive,GET /orders/{orderId},status
Order Detail,Customer email,receive,GET /orders/{orderId},guest_email
Order Detail,Timeline status,receive,GET /orders/{orderId}/timeline,status
Order Detail,Timeline date,receive,GET /orders/{orderId}/timeline,created_at
Order Detail,Timeline notes,receive,GET /orders/{orderId}/timeline,notes
Order Detail,Tracking event,receive,GET /orders/{orderId}/tracking,tracking_event
Order Detail,Tracking description,receive,GET /orders/{orderId}/tracking,description
Order Detail,Tracking location,receive,GET /orders/{orderId}/tracking,location
Order Detail,Tracking event date,receive,GET /orders/{orderId}/tracking,event_at
Order Detail,Product name,receive,GET /orders/{orderId},items.sku_snapshot
Order Detail,SKU,receive,GET /orders/{orderId},items.sku_id
Order Detail,Qty,receive,GET /orders/{orderId},items.quantity
Order Detail,Unit price,receive,GET /orders/{orderId},items.unit_price_paise
Order Detail,Tax,receive,GET /orders/{orderId},items.tax_paise
Order Detail,Line total,receive,GET /orders/{orderId},items.line_total_paise
Order Detail,Subtotal,receive,GET /orders/{orderId},subtotal_paise
Order Detail,Discount,receive,GET /orders/{orderId},discount_paise
Order Detail,Promo code,receive,GET /orders/{orderId},promo_code_snapshot
Order Detail,Shipping,receive,GET /orders/{orderId},shipping_paise
Order Detail,Tax (GST),receive,GET /orders/{orderId},tax_paise
Order Detail,Total paid,receive,GET /orders/{orderId},total_paise
Order Detail,Delivery address name,receive,GET /orders/{orderId},delivery_address_snapshot
Order Detail,Return request reason,receive,GET /return-requests/{returnRequestId},reason
Order Detail,Return request status,receive,GET /return-requests/{returnRequestId},status
Order Detail,Return request date,receive,GET /return-requests/{returnRequestId},created_at
Order Detail,Approve/Reject return,send,POST /return-requests/{returnRequestId}/review,action
Order Detail,Cancel order,send,POST /orders/{orderId}/cancel,reason
Order Detail,Advance status,send,POST /orders/{orderId}/advance,status
Order Detail,Refund ID,receive,GET /orders/{orderId}/refunds,id
Order Detail,Refund reason,receive,GET /orders/{orderId}/refunds,reason
Order Detail,Refund amount,receive,GET /orders/{orderId}/refunds,amount_paise
Order Detail,Refund status,receive,GET /orders/{orderId}/refunds,status
Order Detail,Refund date,receive,GET /orders/{orderId}/refunds,processed_at
Return Request,Order item selection,send,POST /orders/{orderId}/return-requests,order_item_id
Return Request,Reason for return,send,POST /orders/{orderId}/return-requests,reason
Return Request,Item returnable status,receive,GET /orders/{orderId},items.is_returnable
Return Request,Return window days,receive,GET /orders/{orderId},items.return_window_days
Return Request,Item name,receive,GET /orders/{orderId},items.sku_snapshot
Return Request,Item quantity,receive,GET /orders/{orderId},items.quantity
Return Request,Item unit price,receive,GET /orders/{orderId},items.unit_price_paise
Return Request,Order number,receive,GET /orders/{orderId},order_number
Return Request,Order placed date,receive,GET /orders/{orderId},created_at
Notifications,Notification title,receive,GET /notifications,title
Notifications,Notification body,receive,GET /notifications,body
Notifications,Notification date,receive,GET /notifications,created_at
Notifications,Read status,receive,GET /notifications,is_read
Notifications,Mark all as read,send,POST /notifications/read-all,message
Notifications,Mark notification as read,send,POST /notifications/{notificationId}/read,is_read
Notifications,Related entity type,receive,GET /notifications,related_entity_type
Admin Dashboard,Total Orders,receive,GET /admin/reports,total_orders
Admin Dashboard,Gross Revenue,receive,GET /admin/reports,total_revenue_paise
Admin Dashboard,Pending Returns,receive,GET /return-requests,status
Admin Dashboard,Active Promo Codes,receive,GET /promo-codes,is_active
Admin Dashboard,Recent order number,receive,GET /orders,data.order_number
Admin Dashboard,Recent order number,receive,GET /orders/{orderId},order_number
